ID,種類,地域,市区町村コード,都道府県名,市区町村名,地区名,最寄駅：名称,最寄駅：距離（分）,間取り,面積（㎡）,土地の形状,間口,延床面積（㎡）,建築年,建物の構造,用途,今後の利用目的,前面道路：方位,前面道路：種類,前面道路：幅員（ｍ）,都市計画,建ぺい率（％）,容積率（％）,取引時点,改装,取引の事情等,取引価格（総額）_log
15024178,中古マンション等,,15103,新潟県,新潟市中央区,川端町,新潟,19,３ＬＤＫ,70,,,,昭和61年,ＳＲＣ,住宅,住宅,,,,商業地域,80.0,600.0,2016年第3四半期,,,6.929418925714293
15006946,中古マンション等,,15103,新潟県,新潟市中央区,西堀通,新潟,29,３ＬＤＫ,85,,,,昭和63年,ＳＲＣ,,住宅,,,,,,,2018年第3四半期,改装済,,7.113943352306837
15006887,中古マンション等,,15103,新潟県,新潟市中央区,西堀通,新潟,30分?60分,,20,,,,,,,事務所,,,,商業地域,80.0,600.0,2020年第4四半期,,,6.041392685158225
15096967,中古マンション等,,15103,新潟県,新潟市中央区,万代,新潟,8,３ＬＤＫ,60,,,,平成7年,ＲＣ,住宅,,,,,近隣商業地域,80.0,300.0,2008年第1四半期,未改装,,7.041392685158225
15031234,中古マンション等,,15204,新潟県,三条市,東三条,東三条,3,３ＬＤＫ,85,,,,平成17年,ＲＣ,住宅,住宅,,,,第１種住居地域,60.0,200.0,2014年第2四半期,未改装,,7.176091259055681
15007822,中古マンション等,,15103,新潟県,新潟市中央区,日の出,新潟,25,１ＬＤＫ,15,,,,平成4年,ＲＣ,住宅,住宅,,,,第１種住居地域,60.0,200.0,2021年第1四半期,未改装,,6.278753600952829
15086827,中古マンション等,,15222,新潟県,上越市,木田,春日山,13,３ＬＤＫ,75,,,,平成13年,ＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2012年第1四半期,未改装,,7.146128035678238
15022028,中古マンション等,,15202,新潟県,長岡市,表町,長岡,10,２ＬＤＫ,70,,,,平成2年,ＳＲＣ,住宅,住宅,,,,商業地域,80.0,600.0,2021年第4四半期,改装済,,7.041392685158225
15007865,中古マンション等,,15103,新潟県,新潟市中央区,二葉町,新潟,30分?60分,,35,,,,昭和64年,ＲＣ,住宅,住宅,,,,第１種中高層住居専用地域,60.0,200.0,2021年第3四半期,未改装,,6.662757831681574
15053670,中古マンション等,,15103,新潟県,新潟市中央区,西大畑町,新潟,30分?60分,３ＬＤＫ,65,,,,昭和48年,ＲＣ,住宅,,,,,第２種中高層住居専用地域,60.0,200.0,2013年第3四半期,未改装,,6.518513939877887
15058378,中古マンション等,,15222,新潟県,上越市,大町,高田(新潟),13,２ＬＤＫ,40,,,,平成4年,ＳＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2010年第2四半期,改装済,,6.903089986991944
15008306,中古マンション等,,15103,新潟県,新潟市中央区,本町通,新潟,24,３ＬＤＫ,70,,,,昭和63年,ＳＲＣ,住宅,住宅,,,,商業地域,80.0,600.0,2018年第4四半期,,,7.0
15007487,中古マンション等,,15103,新潟県,新潟市中央区,万代,新潟,11,３ＬＤＫ,55,,,,平成8年,ＲＣ,,住宅,,,,近隣商業地域,80.0,300.0,2017年第4四半期,未改装,,7.204119982655925
15035064,中古マンション等,,15103,新潟県,新潟市中央区,笹口,新潟,7,２Ｋ,25,,,,昭和63年,ＲＣ,住宅,,,,,商業地域,80.0,400.0,2012年第3四半期,未改装,,6.361727836017593
15096561,中古マンション等,,15103,新潟県,新潟市中央区,川端町,新潟,19,３ＬＤＫ,110,,,,平成18年,ＲＣ,住宅,,,,,商業地域,80.0,600.0,2007年第1四半期,,,7.698970004336019
15006852,中古マンション等,,15103,新潟県,新潟市中央区,西堀通,新潟,28,,60,,,,,,住宅,その他,,,,商業地域,80.0,600.0,2022年第2四半期,,,7.518513939877887
15019005,中古マンション等,,15103,新潟県,新潟市中央区,医学町通,白山(新潟),13,１Ｋ,20,,,,昭和53年,ＳＲＣ,住宅,住宅,,,,商業地域,80.0,400.0,2015年第2四半期,未改装,,6.204119982655925
15097302,中古マンション等,,15103,新潟県,新潟市中央区,米山,豊栄,11,３ＤＫ,50,,,,昭和51年,ＲＣ,住宅,,,,,第２種中高層住居専用地域,60.0,200.0,2007年第4四半期,未改装,調停・競売等,6.2552725051033065
15051194,中古マンション等,,15103,新潟県,新潟市中央区,川端町,新潟,23,３ＬＤＫ,70,,,,昭和57年,ＳＲＣ,住宅,,,,,近隣商業地域,80.0,300.0,2013年第3四半期,未改装,,6.7558748556724915
15083879,中古マンション等,,15202,新潟県,長岡市,寺泊大和田,桐原(新潟),1H?1H30,２ＤＫ,40,,,,平成3年,ＲＣ,住宅,,,,,都市計画区域外,,,2009年第3四半期,改装済,,6.3979400086720375
15065206,中古マンション等,,15107,新潟県,新潟市西区,青山,青山(新潟),9,３ＬＤＫ,75,,,,平成7年,ＳＲＣ,住宅,,,,,第２種住居地域,60.0,200.0,2013年第3四半期,未改装,,7.113943352306837
15007042,中古マンション等,,15103,新潟県,新潟市中央区,花園,新潟,6,３ＬＤＫ,90,,,,平成11年,ＲＣ,住宅,住宅,,,,商業地域,80.0,400.0,2014年第4四半期,未改装,,7.361727836017593
15006850,中古マンション等,,15103,新潟県,新潟市中央区,西堀通,新潟,26,３ＬＤＫ,90,,,,平成21年,ＲＣ,住宅,住宅,,,,商業地域,80.0,600.0,2022年第2四半期,未改装,,7.477121254719663
15014260,中古マンション等,,15107,新潟県,新潟市西区,青山,青山(新潟),8,３ＤＫ,60,,,,昭和51年,ＳＲＣ,住宅,その他,,,,第２種住居地域,60.0,200.0,2021年第3四半期,未改装,,6.6127838567197355
15096633,中古マンション等,,15103,新潟県,新潟市中央区,幸町,新潟,,３ＬＤＫ,65,,,,平成13年,ＳＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2007年第4四半期,未改装,,7.204119982655925
15096698,中古マンション等,,15103,新潟県,新潟市中央区,下大川前通,新潟,16,１ＤＫ,25,,,,昭和54年,ＳＲＣ,住宅,,,,,商業地域,80.0,600.0,2007年第4四半期,未改装,,6.531478917042255
15007022,中古マンション等,,15103,新潟県,新潟市中央区,西堀前通,新潟,26,３ＬＤＫ,75,,,,平成14年,ＳＲＣ,住宅,住宅,,,,商業地域,80.0,600.0,2017年第1四半期,未改装,,7.361727836017593
15066614,中古マンション等,,15103,新潟県,新潟市中央区,万代,新潟,11,３ＬＤＫ,60,,,,平成7年,ＲＣ,住宅,,,,,近隣商業地域,80.0,300.0,2009年第3四半期,未改装,調停・競売等,6.949390006644912
