ID,種類,地域,市区町村コード,都道府県名,市区町村名,地区名,最寄駅：名称,最寄駅：距離（分）,間取り,面積（㎡）,土地の形状,間口,延床面積（㎡）,建築年,建物の構造,用途,今後の利用目的,前面道路：方位,前面道路：種類,前面道路：幅員（ｍ）,都市計画,建ぺい率（％）,容積率（％）,取引時点,改装,取引の事情等,取引価格（総額）_log
34029795,中古マンション等,,34202,広島県,呉市,吉浦新町,吉浦,3,３ＬＤＫ,70,,,,平成14年,ＳＲＣ,住宅,,,,,工業地域,60.0,200.0,2010年第1四半期,改装済,,7.176091259055681
34088145,中古マンション等,,34104,広島県,広島市西区,横川町,横川(広島),5,４ＬＤＫ,80,,,,平成13年,ＳＲＣ,住宅,,,,,商業地域,80.0,500.0,2008年第4四半期,未改装,,7.518513939877887
34043749,中古マンション等,,34103,広島県,広島市南区,元宇品町,広島,1H?1H30,２ＬＤＫ,70,,,,平成7年,ＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2012年第2四半期,未改装,,7.146128035678238
34029051,中古マンション等,,34207,広島県,福山市,神辺町,道上,21,,70,,,,令和2年,,住宅,住宅,,,,第１種住居地域,60.0,200.0,2021年第1四半期,未改装,,7.477121254719663
34003570,中古マンション等,,34103,広島県,広島市南区,東雲,広島,30分?60分,３ＬＤＫ,85,,,,昭和58年,ＳＲＣ,住宅,住宅,,,,準工業地域,60.0,200.0,2021年第1四半期,改装済,,7.278753600952829
34096111,中古マンション等,,34212,広島県,東広島市,西条朝日町,西条(広島),9,３ＬＤＫ,65,,,,平成8年,ＳＲＣ,住宅,,,,,近隣商業地域,80.0,300.0,2008年第1四半期,改装済,,7.204119982655925
34032825,中古マンション等,,34207,広島県,福山市,西桜町,福山,14,３ＬＤＫ,65,,,,平成4年,ＲＣ,,住宅,,,,近隣商業地域,80.0,300.0,2022年第1四半期,,,7.204119982655925
34002358,中古マンション等,,34102,広島県,広島市東区,東蟹屋町,広島,13,３ＬＤＫ,85,,,,平成18年,ＲＣ,,住宅,,,,準工業地域,60.0,200.0,2019年第3四半期,未改装,,7.505149978319906
34006095,中古マンション等,,34104,広島県,広島市西区,東観音町,広島,30分?60分,３ＬＤＫ,75,,,,平成7年,ＲＣ,,住宅,,,,第２種住居地域,60.0,300.0,2019年第4四半期,未改装,,7.301029995663981
34074029,中古マンション等,,34101,広島県,広島市中区,八丁堀,広島,18,オープンフロア,75,,,,平成5年,鉄骨造,事務所,,,,,商業地域,80.0,800.0,2009年第1四半期,改装済,,7.301029995663981
