ID,種類,地域,市区町村コード,都道府県名,市区町村名,地区名,最寄駅：名称,最寄駅：距離（分）,間取り,面積（㎡）,土地の形状,間口,延床面積（㎡）,建築年,建物の構造,用途,今後の利用目的,前面道路：方位,前面道路：種類,前面道路：幅員（ｍ）,都市計画,建ぺい率（％）,容積率（％）,取引時点,改装,取引の事情等,取引価格（総額）_log
42039433,中古マンション等,,42204,長崎県,諫早市,栄町,本諫早,,４ＬＤＫ,95,,,,平成20年,ＲＣ,住宅,,,,,,,,2009年第2四半期,,,7.4623979978989565
42001982,中古マンション等,,42201,長崎県,長崎市,金屋町,長崎(長崎),9,３ＬＤＫ,75,,,,平成16年,ＳＲＣ,住宅,住宅,,,,商業地域,80.0,500.0,2020年第2四半期,未改装,,7.518513939877887
42004349,中古マンション等,,42202,長崎県,佐世保市,鹿子前町,佐世保,1H?1H30,４ＬＤＫ,105,,,,平成4年,ＲＣ,住宅,,,,,第１種中高層住居専用地域,60.0,200.0,2010年第2四半期,未改装,,6.973127853599698
42007158,中古マンション等,,42202,長崎県,佐世保市,木場田町,佐世保,29,３ＬＤＫ,75,,,,平成16年,ＳＲＣ,住宅,住宅,,,,商業地域,80.0,400.0,2018年第2四半期,未改装,,7.301029995663981
42009271,中古マンション等,,42202,長崎県,佐世保市,保立町,北佐世保,24,４ＬＤＫ,115,,,,平成3年,ＲＣ,住宅,住宅,,,,第１種住居地域,60.0,200.0,2017年第2四半期,未改装,,7.0
42007185,中古マンション等,,42202,長崎県,佐世保市,権常寺,早岐,9,４ＬＤＫ,85,,,,,,,住宅,,,,,,,2022年第1四半期,,,7.278753600952829
42007029,中古マンション等,,42202,長崎県,佐世保市,光月町,佐世保,15,３ＬＤＫ,65,,,,平成17年,ＳＲＣ,,住宅,,,,商業地域,80.0,400.0,2021年第3四半期,未改装,,7.2552725051033065
42028871,中古マンション等,,42202,長崎県,佐世保市,木場田町,佐世保,30分?60分,３ＬＤＫ,70,,,,,ＳＲＣ,住宅,,,,,,,,2012年第1四半期,,,7.2552725051033065
42002848,中古マンション等,,42201,長崎県,長崎市,桜馬場,長崎(長崎),24,３ＬＤＫ,70,,,,平成4年,ＳＲＣ,,住宅,,,,商業地域,80.0,400.0,2018年第1四半期,改装済,,7.342422680822207
42002179,中古マンション等,,42201,長崎県,長崎市,川平町,長与,25,,50,,,,昭和53年,ＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2022年第1四半期,改装済,,6.342422680822207
42003393,中古マンション等,,42202,長崎県,佐世保市,稲荷町,佐世保,13,３ＬＤＫ,55,,,,,ＲＣ,住宅,,,,,,,,2014年第1四半期,未改装,,7.079181246047625
42000350,中古マンション等,,42201,長崎県,長崎市,金屋町,,,４ＬＤＫ,80,,,,平成11年,ＳＲＣ,住宅,,,,,,,,2010年第1四半期,改装済,,7.447158031342219
42026545,中古マンション等,,42201,長崎県,長崎市,石神町,西浦上,24,４ＬＤＫ,80,,,,平成10年,ＲＣ,住宅,住宅,,,,近隣商業地域,80.0,300.0,2016年第4四半期,未改装,,7.361727836017593
42038192,中古マンション等,,42201,長崎県,長崎市,筑後町,,,４ＬＤＫ,85,,,,平成15年,ＳＲＣ,住宅,,,,,,,,2009年第2四半期,未改装,,7.4623979978989565
42003025,中古マンション等,,42201,長崎県,長崎市,昭和,西浦上,25,２ＬＤＫ,55,,,,昭和64年,ＳＲＣ,住宅,その他,,,,,,,2020年第1四半期,未改装,,6.892094602690481
42035054,中古マンション等,,42201,長崎県,長崎市,古町,長崎(長崎),14,４ＬＤＫ,75,,,,平成10年,ＳＲＣ,住宅,,,,,商業地域,80.0,600.0,2013年第2四半期,未改装,,7.414973347970818
42034404,中古マンション等,,42201,長崎県,長崎市,玉園町,長崎(長崎),10,１Ｒ,20,,,,戦前,ＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2013年第2四半期,未改装,,6.6020599913279625
42026106,中古マンション等,,42201,長崎県,長崎市,家野町,西浦上,8,２ＬＤＫ,75,,,,平成15年,ＳＲＣ,住宅,,,,,商業地域,80.0,400.0,2012年第1四半期,改装済,,7.380211241711606
42038226,中古マンション等,,42201,長崎県,長崎市,出島町,長崎(長崎),,２ＬＤＫ,45,,,,昭和60年,ＲＣ,住宅,,,,,,,,2009年第1四半期,改装済,,6.903089986991944
42001115,中古マンション等,,42201,長崎県,長崎市,泉,西浦上,15,３ＬＤＫ,75,,,,,ＲＣ,,,,,,,,,2019年第4四半期,未改装,,7.301029995663981
42003492,中古マンション等,,42201,長崎県,長崎市,田中町,現川,30分?60分,３ＬＤＫ,75,,,,平成10年,ＳＲＣ,,住宅,,,,,,,2022年第1四半期,未改装,,7.176091259055681
42036141,中古マンション等,,42202,長崎県,佐世保市,浜田町,佐世保,13,２ＬＤＫ,40,,,,,ＳＲＣ,住宅,,,,,,,,2013年第3四半期,未改装,,6.832508912706237
42026304,中古マンション等,,42201,長崎県,長崎市,大浜町,長崎(長崎),1H?1H30,３ＬＤＫ,75,,,,平成11年,ＳＲＣ,住宅,,,,,準住居地域,60.0,200.0,2012年第4四半期,改装済,,7.176091259055681
42034016,中古マンション等,,42201,長崎県,長崎市,桜馬場,新中川町,1,２ＬＤＫ,50,,,,,ＳＲＣ,住宅,,,,,,,,2013年第1四半期,未改装,,7.176091259055681
42039242,中古マンション等,,42202,長崎県,佐世保市,元町,佐世保,,オープンフロア,75,,,,平成10年,ＳＲＣ,事務所,,,,,,,,2009年第3四半期,未改装,,7.204119982655925
42025512,中古マンション等,,42201,長崎県,長崎市,高尾町,浦上,30分?60分,３ＬＤＫ,70,,,,昭和50年,ＲＣ,住宅,住宅,,,,第１種中高層住居専用地域,60.0,200.0,2015年第4四半期,改装済,,6.99563519459755
