ID,種類,地域,市区町村コード,都道府県名,市区町村名,地区名,最寄駅：名称,最寄駅：距離（分）,間取り,面積（㎡）,土地の形状,間口,延床面積（㎡）,建築年,建物の構造,用途,今後の利用目的,前面道路：方位,前面道路：種類,前面道路：幅員（ｍ）,都市計画,建ぺい率（％）,容積率（％）,取引時点,改装,取引の事情等,取引価格（総額）_log
25010284,中古マンション等,,25201,滋賀県,大津市,真野,堅田,10,４ＬＤＫ,80,,,,平成2年,ＲＣ,住宅,住宅,,,,第１種住居地域,60.0,200.0,2014年第4四半期,未改装,,6.977723605288848
25050358,中古マンション等,,25206,滋賀県,草津市,西大路町,草津(滋賀),3,３ＬＤＫ,65,,,,平成8年,ＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2009年第1四半期,未改装,,7.230448921378274
25045661,中古マンション等,,25202,滋賀県,彦根市,高宮町,南彦根,11,２ＬＤＫ,55,,,,昭和60年,ＳＲＣ,住宅,,,,,準工業地域,60.0,200.0,2013年第1四半期,改装済,,6.869231719730976
25014755,中古マンション等,,25206,滋賀県,草津市,野路,南草津,4,３ＬＤＫ,80,,,,平成14年,ＳＲＣ,住宅,住宅,,,,商業地域,80.0,500.0,2020年第1四半期,未改装,,7.505149978319906
25042133,中古マンション等,,25206,滋賀県,草津市,西大路町,草津(滋賀),8,３ＬＤＫ,75,,,,平成10年,ＳＲＣ,住宅,,,,,近隣商業地域,80.0,200.0,2012年第1四半期,未改装,,7.301029995663981
25014807,中古マンション等,,25201,滋賀県,大津市,国分,石山,13,３ＬＤＫ,65,,,,平成7年,ＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2011年第1四半期,改装済,,6.991226075692495
25003646,中古マンション等,,25201,滋賀県,大津市,茶が崎,大津京,8,１ＬＤＫ,50,,,,平成30年,ＲＣ,住宅,住宅,,,,商業地域,80.0,400.0,2018年第4四半期,未改装,,7.414973347970818
25014196,中古マンション等,,25206,滋賀県,草津市,草津,草津(滋賀),8,３ＬＤＫ,70,,,,平成4年,ＲＣ,住宅,住宅,,,,商業地域,80.0,400.0,2017年第2四半期,未改装,,7.176091259055681
25007869,中古マンション等,,25202,滋賀県,彦根市,西今町,南彦根,6,３ＬＤＫ,60,,,,平成14年,ＲＣ,,住宅,,,,第１種中高層住居専用地域,60.0,200.0,2017年第4四半期,改装済,,7.2552725051033065
25053806,中古マンション等,,25201,滋賀県,大津市,浜大津,大津,16,４ＬＤＫ,80,,,,平成19年,ＲＣ,住宅,,,,,商業地域,80.0,400.0,2007年第2四半期,改装済,,7.531478917042255
25042700,中古マンション等,,25206,滋賀県,草津市,南草津,南草津,3,３ＬＤＫ,70,,,,平成22年,ＲＣ,住宅,,,,,商業地域,80.0,500.0,2012年第4四半期,未改装,,7.3979400086720375
25004091,中古マンション等,,25201,滋賀県,大津市,におの浜,膳所,13,３ＬＤＫ,70,,,,平成28年,ＲＣ,,住宅,,,,近隣商業地域,80.0,300.0,2021年第2四半期,,,7.531478917042255
25052919,中古マンション等,,25201,滋賀県,大津市,今堅田,堅田,14,３ＬＤＫ,65,,,,戦前,ＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2007年第2四半期,改装済,,7.079181246047625
25046050,中古マンション等,,25202,滋賀県,彦根市,古沢町,彦根,3,３ＬＤＫ,85,,,,,ＳＲＣ,住宅,,,,,商業地域,80.0,400.0,2013年第4四半期,未改装,,7.041392685158225
25013616,中古マンション等,,25206,滋賀県,草津市,大路,草津(滋賀),3,３ＬＤＫ,70,,,,令和2年,ＲＣ、鉄骨造,住宅,その他,,,,商業地域,80.0,600.0,2018年第4四半期,,,7.698970004336019
25013136,中古マンション等,,25202,滋賀県,彦根市,野良田町,稲枝,4,３ＬＤＫ,65,,,,平成6年,ＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2014年第1四半期,改装済,,6.944482672150168
25047757,中古マンション等,,25206,滋賀県,草津市,笠山,瀬田(滋賀),30分?60分,４ＬＤＫ,90,,,,,ＳＲＣ,住宅,,,,,第２種中高層住居専用地域,,,2013年第4四半期,未改装,,7.079181246047625
25055828,中古マンション等,,25206,滋賀県,草津市,野路町,南草津,4,４ＬＤＫ,95,,,,平成10年,ＲＣ,住宅,,,,,準工業地域,60.0,200.0,2007年第2四半期,未改装,,7.380211241711606
25000555,中古マンション等,,25201,滋賀県,大津市,今堅田,堅田,18,３ＬＤＫ,60,,,,平成7年,ＳＲＣ,住宅,住宅,,,,商業地域,80.0,400.0,2020年第4四半期,未改装,,7.079181246047625
25005381,中古マンション等,,25201,滋賀県,大津市,大萱,瀬田(滋賀),3,２ＬＤＫ,70,,,,平成15年,ＳＲＣ,住宅,,,,,商業地域,80.0,500.0,2014年第1四半期,未改装,,7.230448921378274
25030428,中古マンション等,,25201,滋賀県,大津市,本堅田,堅田,5,３ＬＤＫ,65,,,,平成3年,ＳＲＣ,住宅,住宅,,,,商業地域,80.0,600.0,2015年第4四半期,改装済,,7.113943352306837
25030137,中古マンション等,,25201,滋賀県,大津市,別保,石山,7,３ＬＤＫ,60,,,,平成8年,ＲＣ,住宅,住宅,,,,第１種住居地域,60.0,200.0,2015年第1四半期,改装済,,7.113943352306837
25055504,中古マンション等,,25206,滋賀県,草津市,大路,草津(滋賀),11,３ＬＤＫ,70,,,,平成12年,ＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2007年第4四半期,改装済,,7.278753600952829
25043497,中古マンション等,,25201,滋賀県,大津市,下阪本,比叡山坂本,9,４ＬＤＫ,70,,,,平成5年,ＲＣ,住宅,,,,,第１種中高層住居専用地域,60.0,200.0,2013年第2四半期,未改装,,6.919078092376074
25008421,中古マンション等,,25201,滋賀県,大津市,中央,大津,8,３ＬＤＫ,65,,,,昭和64年,ＳＲＣ,住宅,,,,,,,,2014年第1四半期,未改装,,7.079181246047625
25044908,中古マンション等,,25201,滋賀県,大津市,本宮,大津,15,３ＬＤＫ,70,,,,,ＲＣ,住宅,,,,,準工業地域,60.0,200.0,2013年第4四半期,未改装,,7.176091259055681
25040148,中古マンション等,,25203,滋賀県,長浜市,大宮町,長浜,6,３ＬＤＫ,65,,,,平成20年,ＲＣ,住宅,,,,,商業地域,80.0,500.0,2012年第2四半期,未改装,,7.301029995663981
25047826,中古マンション等,,25201,滋賀県,大津市,本堅田,堅田,5,４ＬＤＫ,80,,,,平成3年,ＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2009年第3四半期,未改装,,7.079181246047625
25037035,中古マンション等,,25206,滋賀県,草津市,西大路町,草津(滋賀),6,４ＬＤＫ,80,,,,平成11年,ＳＲＣ,住宅,住宅,,,,近隣商業地域,80.0,300.0,2015年第3四半期,未改装,,7.414973347970818
