ID,種類,地域,市区町村コード,都道府県名,市区町村名,地区名,最寄駅：名称,最寄駅：距離（分）,間取り,面積（㎡）,土地の形状,間口,延床面積（㎡）,建築年,建物の構造,用途,今後の利用目的,前面道路：方位,前面道路：種類,前面道路：幅員（ｍ）,都市計画,建ぺい率（％）,容積率（％）,取引時点,改装,取引の事情等,取引価格（総額）_log
44003320,中古マンション等,,44201,大分県,大分市,大字森町,鶴崎,23,４ＬＤＫ,80,,,,平成3年,ＲＣ,住宅,住宅,,,,準工業地域,60.0,200.0,2014年第3四半期,未改装,,7.041392685158225
44006009,中古マンション等,,44201,大分県,大分市,中島東,大分,25,２ＤＫ,45,,,,昭和49年,ＲＣ,,住宅,,,,,,,2018年第3四半期,,,6.431363764158987
44038938,中古マンション等,,44201,大分県,大分市,大字皆春,鶴崎,19,３ＬＤＫ,65,,,,平成4年,ＳＲＣ,住宅,,,,,準工業地域,60.0,200.0,2013年第2四半期,改装済,,6.892094602690481
44045492,中古マンション等,,44201,大分県,大分市,大字横尾,鶴崎,1H?1H30,４ＬＤＫ,105,,,,平成18年,ＲＣ,住宅,,,,,第１種中高層住居専用地域,60.0,200.0,2007年第4四半期,改装済,,7.278753600952829
44035833,中古マンション等,,44201,大分県,大分市,明野北,高城,28,４ＬＤＫ,70,,,,平成2年,ＳＲＣ,住宅,,,,,第１種中高層住居専用地域,60.0,200.0,2013年第1四半期,未改装,,6.924279286061882
44016586,中古マンション等,,44202,大分県,別府市,石垣東,別府大学,19,３ＬＤＫ,75,,,,平成3年,ＳＲＣ,住宅,,,,,商業地域,80.0,400.0,2011年第1四半期,未改装,,7.113943352306837
44000776,中古マンション等,,44201,大分県,大分市,高城新町,高城,3,３ＬＤＫ,100,,,,平成14年,ＳＲＣ,住宅,住宅,,,,商業地域,80.0,400.0,2014年第4四半期,未改装,,7.204119982655925
44031514,中古マンション等,,44201,大分県,大分市,西新地,牧(大分),30分?60分,４ＬＤＫ,90,,,,平成3年,ＲＣ,住宅,住宅,,,,準工業地域,60.0,200.0,2016年第1四半期,未改装,,7.146128035678238
44040792,中古マンション等,,44201,大分県,大分市,大津町,大分,30分?60分,４ＬＤＫ,105,,,,平成11年,ＳＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2009年第4四半期,未改装,,7.079181246047625
44045756,中古マンション等,,44202,大分県,別府市,大字鉄輪,別府大学,30分?60分,１Ｋ,35,,,,,ＳＲＣ,住宅,,,,,商業地域,80.0,400.0,2007年第4四半期,改装済,,7.079181246047625
